iter	Passed	Remaining
0	0	142
1	0	141
2	0	143
3	0	152
4	0	142
5	0	143
6	1	144
7	1	144
8	1	138
9	1	140
10	1	136
11	1	136
12	1	136
13	1	137
14	2	138
15	2	150
16	4	232
17	4	225
18	4	221
19	4	216
20	4	213
21	4	210
22	4	204
23	5	203
24	5	198
25	5	195
26	5	193
27	5	192
28	5	188
29	5	186
30	5	184
31	6	184
32	6	185
33	6	184
34	6	182
35	6	181
36	6	180
37	7	180
38	7	179
39	7	177
40	7	175
41	7	173
42	7	172
43	7	171
44	8	170
45	8	169
46	8	168
47	8	166
48	8	165
49	8	163
50	8	162
51	8	162
52	9	161
53	9	161
54	9	160
55	9	160
56	9	159
57	9	158
58	9	157
59	9	156
60	10	155
61	10	154
62	10	153
63	10	153
64	10	153
65	10	153
66	10	152
67	11	151
68	11	151
69	11	151
70	11	150
71	11	149
72	11	148
73	11	148
74	11	147
75	12	147
76	12	147
77	12	146
78	12	146
79	12	145
80	12	145
81	12	145
82	13	144
83	13	144
84	13	144
85	13	144
86	13	143
87	13	143
88	13	142
89	14	142
90	14	141
91	14	141
92	14	140
93	14	140
94	14	141
95	14	140
96	15	140
97	15	139
98	15	139
99	15	138
100	15	138
101	15	138
102	15	138
103	15	137
104	16	137
105	16	136
106	16	136
107	16	136
108	16	136
109	16	136
110	16	136
111	17	135
112	17	135
113	17	135
114	17	135
115	17	134
116	17	134
117	17	134
118	18	134
119	18	133
120	18	133
121	18	133
122	18	132
123	18	132
124	18	132
125	19	132
126	19	131
127	19	131
128	19	131
129	19	131
130	19	131
131	19	131
132	20	131
133	20	130
134	20	130
135	23	149
136	23	149
137	23	148
138	24	150
139	24	150
140	24	150
141	24	150
142	25	150
143	25	149
144	25	149
145	25	148
146	25	148
147	25	147
148	25	148
149	26	147
150	26	147
151	26	146
152	26	146
153	26	146
154	26	145
155	26	145
156	27	145
157	27	144
158	27	144
159	27	144
160	27	143
161	27	143
162	27	142
163	27	142
164	28	142
165	28	142
166	28	141
167	28	141
168	28	141
169	28	140
170	28	140
171	29	140
172	29	139
173	29	139
174	29	139
175	29	139
176	29	138
177	29	138
178	30	137
179	30	137
180	30	137
181	30	136
182	30	136
183	30	136
184	30	136
185	31	135
186	31	135
187	31	135
188	31	134
189	31	134
190	31	134
191	31	134
192	31	133
193	32	133
194	32	133
195	32	133
196	32	133
197	32	132
198	32	132
199	33	132
200	33	132
201	33	131
202	33	131
203	33	131
204	33	130
205	33	130
206	34	130
207	34	130
208	34	130
209	34	129
210	34	129
211	34	129
212	34	129
213	35	129
214	35	128
215	35	128
216	35	128
217	35	127
218	35	127
219	35	127
220	36	127
221	36	127
222	36	126
223	36	126
224	36	126
225	36	126
226	36	125
227	37	125
228	37	125
229	37	124
230	37	124
231	37	124
232	37	124
233	37	123
234	38	123
235	38	123
236	38	123
237	38	123
238	38	122
239	38	122
240	38	122
241	39	122
242	39	123
243	39	122
244	39	122
245	40	122
246	40	122
247	40	122
248	40	121
249	40	121
250	40	121
251	40	121
252	40	120
253	41	120
254	41	120
255	41	120
256	41	119
257	41	119
258	41	119
259	41	119
260	42	119
261	42	119
262	42	118
263	42	118
264	42	118
265	42	118
266	43	118
267	43	118
268	43	118
269	43	117
270	43	117
271	43	117
272	44	117
273	44	117
274	44	116
275	44	116
276	44	116
277	44	116
278	44	116
279	45	115
280	45	115
281	45	115
282	45	115
283	45	115
284	45	114
285	45	114
286	46	114
287	46	114
288	46	114
289	46	114
290	46	114
291	46	113
292	47	113
293	47	113
294	47	113
295	47	112
296	47	112
297	47	112
298	47	112
299	48	112
300	48	111
301	48	111
302	48	111
303	48	111
304	48	111
305	49	111
306	49	111
307	49	110
308	49	110
309	49	110
310	49	110
311	49	110
312	50	109
313	50	109
314	50	109
315	50	109
316	50	109
317	50	109
318	51	109
319	51	108
320	51	108
321	51	108
322	51	108
323	51	108
324	51	107
325	52	107
326	52	107
327	52	107
328	52	106
329	52	106
330	52	106
331	52	106
332	53	106
333	53	106
334	53	105
335	53	105
336	53	105
337	53	105
338	54	105
339	54	105
340	54	105
341	54	104
342	54	104
343	54	104
344	54	104
345	55	104
346	55	103
347	55	103
348	55	103
349	55	103
350	55	103
351	56	103
352	56	102
353	56	102
354	56	102
355	56	102
356	56	102
357	56	102
358	57	102
359	57	101
360	57	101
361	58	102
362	58	102
363	58	101
364	58	101
365	58	101
366	58	101
367	59	101
368	59	101
369	59	101
370	59	100
371	59	100
372	59	100
373	59	100
374	60	100
375	60	100
376	60	100
377	60	99
378	60	99
379	61	99
380	61	99
381	61	99
382	61	98
383	61	99
384	61	98
385	62	98
386	62	98
387	62	98
388	62	98
389	62	97
390	62	97
391	62	97
392	63	97
393	63	97
394	63	97
395	63	96
396	63	96
397	63	96
398	63	96
399	64	96
400	64	96
401	64	95
402	64	95
403	73	108
404	73	108
405	73	108
406	74	107
407	74	107
408	74	107
409	74	107
410	74	107
411	74	106
412	75	106
413	75	106
414	75	106
415	75	106
416	75	105
417	75	105
418	76	105
419	76	105
420	76	105
421	76	104
422	76	104
423	76	104
424	76	104
425	77	103
426	77	103
427	85	114
428	86	114
429	86	114
430	86	114
431	86	113
432	86	113
433	88	114
434	88	114
435	88	114
436	88	114
437	88	113
438	88	113
439	88	113
440	89	112
441	89	112
442	89	112
443	89	112
444	89	111
445	89	111
446	90	111
447	90	111
448	90	110
449	90	110
450	90	110
451	90	110
452	90	109
453	91	109
454	91	109
455	91	109
456	91	108
457	91	108
458	91	108
459	93	110
460	97	113
461	99	115
462	99	115
463	99	115
464	99	115
465	100	114
466	100	114
467	100	114
468	100	113
469	100	113
470	100	113
471	101	113
472	101	112
473	101	112
474	101	112
475	101	112
476	102	111
477	102	111
478	102	111
479	102	111
480	102	110
481	102	110
482	102	110
483	103	109
484	103	109
485	103	109
486	105	110
487	105	110
488	105	110
489	105	110
490	106	110
491	106	109
492	106	109
493	112	115
494	113	115
495	113	115
496	113	115
497	125	126
498	126	126
499	126	126
500	126	125
501	126	125
502	126	125
503	136	134
504	136	134
505	137	133
506	137	133
507	137	133
508	137	132
509	137	132
510	137	131
511	137	131
512	138	131
513	138	130
514	138	130
515	138	130
516	138	129
517	139	129
518	139	129
519	139	129
520	140	129
521	146	134
522	146	133
523	146	133
524	147	133
525	147	132
526	148	132
527	148	132
528	148	132
529	148	131
530	148	131
531	148	130
532	148	130
533	149	130
534	149	129
535	149	129
536	149	128
537	149	128
538	149	128
539	149	127
540	150	127
541	150	126
542	150	126
543	150	126
544	152	127
545	153	127
546	153	127
547	153	126
548	153	126
549	153	125
550	154	125
551	154	125
552	154	124
553	154	124
554	154	124
555	154	123
556	154	123
557	155	122
558	156	123
559	156	123
560	156	122
561	156	122
80
587	114	80
588	114	79
589	114	79
590	114	79
591	115	79
592	115	79
593	115	78
594	115	78
595	115	78
596	115	78
597	115	77
598	116	77
599	116	77
600	116	77
601	116	77
602	116	76
603	116	76
604	116	76
605	117	76
606	117	75
607	117	75
608	117	75
609	117	75
610	117	74
611	117	74
612	118	74
613	118	74
614	136	85
615	136	85
616	136	84
617	136	84
618	137	84
619	137	84
620	140	85
621	141	85
622	141	85
623	141	85
624	141	85
625	141	84
626	142	84
627	142	84
628	142	83
629	142	83
630	142	83
631	142	83
632	142	82
633	143	82
634	143	82
635	143	82
636	143	81
637	143	81
638	143	81
639	143	80
640	144	80
641	144	80
642	144	80
643	144	79
644	144	79
645	144	79
646	144	79
647	145	78
648	145	78
649	145	78
650	145	78
651	145	77
652	145	77
653	146	77
654	146	77
655	146	76
656	146	76
657	146	76
658	146	76
659	147	75
660	147	75
661	147	75
662	147	74
663	147	74
664	147	74
665	147	74
666	148	73
667	152	75
668	152	75
669	152	75
670	152	74
671	153	74
672	153	74
673	153	74
674	153	73
675	153	73
676	153	73
677	153	73
678	153	72
679	154	72
680	154	72
681	154	71
682	154	71
683	154	71
684	154	71
685	154	70
686	155	70
687	155	70
688	155	70
689	155	69
690	155	69
48	158	85
649	158	85
650	159	85
651	159	84
652	159	84
653	159	84
654	159	84
655	159	83
656	159	83
657	160	83
658	160	82
659	160	82
660	160	82
661	160	82
662	160	81
663	160	81
664	161	81
665	161	81
666	161	80
667	162	80
668	162	80
669	162	79
670	162	79
671	162	79
672	162	79
673	162	78
674	163	78
675	163	78
676	163	78
677	164	77
678	164	77
679	164	77
680	164	77
681	164	76
682	165	76
683	165	76
684	165	76
685	165	75
686	165	75
687	165	75
688	165	74
689	166	74
690	166	74
691	166	74
692	166	73
693	166	73
694	166	73
695	167	72
696	167	72
697	167	72
698	167	72
699	167	71
700	167	71
701	167	71
702	168	71
703	168	70
704	168	70
705	168	70
706	168	69
707	168	69
708	168	69
709	169	69
710	169	68
711	169	68
712	169	68
713	169	67
714	179	71
715	179	71
716	179	70
717	179	70
718	179	70
719	180	70
720	180	69
721	180	69
722	180	69
723	180	68
724	180	68
725	181	68
726	181	68
727	181	67
728	181	67
729	181	67
730	181	66
731	181	66
732	182	66
733	182	66
734	182	65
735	182	65
736	182	65
737	182	64
738	183	64
739	183	64
740	183	64
741	183	63
742	184	63
743	184	63
744	184	63
745	184	62
746	184	62
747	184	62
748	185	61
749	185	61
750	185	61
751	185	61
752	185	60
753	185	60
754	185	60
755	186	60
756	186	59
757	186	59
758	186	59
759	186	58
760	186	58
761	187	58
762	187	58
763	187	57
764	187	57
765	187	57
766	188	57
767	188	56
768	188	56
769	188	56
770	188	56
771	189	55
772	189	55
773	189	55
774	189	55
775	189	54
776	189	54
777	190	54
778	190	53
779	190	53
780	190	53
781	190	53
782	190	52
783	190	52
784	191	52
785	191	52
786	191	51
787	191	51
788	191	51
789	191	51
790	192	50
791	192	50
792	192	50
793	192	50
794	192	49
795	193	49
796	193	49
797	198	50
798	198	50
799	198	49
800	199	49
801	199	49
802	199	48
803	199	48
804	199	48
805	199	48
806	199	47
807	200	47
808	200	47
809	200	47
810	200	46
811	200	46
812	200	46
813	200	45
814	201	45
815	201	45
816	201	45
817	201	44
818	201	44
819	201	44
820	202	44
821	202	43
822	202	43
823	202	43
824	202	42
825	202	42
826	202	42
827	203	42
828	203	41
829	203	41
830	203	41
831	203	41
832	203	40
833	211	42
834	212	41
835	212	41
836	212	41
837	212	41
838	212	40
839	212	40
840	213	40
841	213	40
842	213	39
843	215	39
844	215	39
845	224	40
846	225	40
847	225	40
848	225	40
849	225	39
850	225	39
851	225	39
852	226	38
853	226	38
854	227	38
855	227	38
856	227	37
857	227	37
858	227	37
859	228	37
860	228	36
861	228	36
862	228	36
863	228	36
864	228	35
865	229	35
866	229	35
867	229	34
868	229	34
869	229	34
870	229	34
871	229	33
872	230	33
873	230	33
874	230	32
875	230	32
876	230	32
877	230	32
878	230	31
879	231	31
880	231	31
881	231	30
882	231	30
883	231	30
884	231	30
885	233	29
886	233	29
887	233	29
888	233	29
889	233	28
890	233	28
891	233	28
892	234	28
893	234	27
894	234	27
895	234	27
896	234	26
897	234	26
898	234	26
899	235	26
900	235	25
901	235	25
902	235	25
903	235	25
904	235	24
905	236	24
906	236	24
907	236	23
908	236	23
909	236	23
910	236	23
911	236	22
912	237	22
913	237	22
914	237	22
915	237	21
916	237	21
917	237	21
918	237	20
919	238	20
920	238	20
921	238	20
922	238	19
923	238	19
924	238	19
925	239	19
926	239	18
927	257	19
928	258	19
929	264	19
930	264	19
931	264	19
932	264	19
933	264	18
934	264	18
935	265	18
936	265	17
937	265	17
938	265	17
939	265	16
940	265	16
941	265	16
942	266	16
943	266	15
944	266	15
945	266	15
946	266	14
947	266	14
948	267	14
949	267	14
950	267	13
951	267	13
952	267	13
953	267	12
954	268	12
955	268	12
956	268	12
957	268	11
958	268	11
959	268	11
960	268	10
961	269	10
962	269	10
963	269	10
964	270	9
965	270	9
966	270	9
967	270	8
968	271	8
969	271	8
970	271	8
971	271	7
972	271	7
973	271	7
974	271	6
975	272	6
976	272	6
977	272	6
978	272	5
979	273	5
980	273	5
981	273	5
982	273	4
983	273	4
984	273	4
985	274	3
986	274	3
987	274	3
988	274	3
989	274	2
990	274	2
991	275	2
992	275	1
993	275	1
994	275	1
995	275	1
996	275	0
997	276	0
998	276	0
999	276	0
